iter	Passed	Remaining
239	570	1805
240	571	1801
241	573	1796
242	574	1789
243	575	1783
244	576	1777
245	578	1772
246	579	1766
247	580	1760
248	581	1755
249	583	1750
250	585	1746
251	586	1740
252	589	1740
253	591	1736
254	592	1731
255	597	1737
256	599	1734
257	601	1728
258	602	1724
259	603	1718
260	604	1712
261	605	1706
262	607	1701
263	608	1695
264	611	1697
265	613	1692
266	614	1687
267	615	1681
268	616	1676
269	617	1670
270	619	1665
271	620	1659
272	621	1654
273	622	1649
274	627	1654
275	628	1649
276	630	1644
277	631	1639
278	632	1633
279	633	1629
280	634	1624
281	636	1619
282	637	1614
283	638	1608
284	642	1610
285	643	1606
286	644	1601
287	645	1596
288	646	1591
289	647	1586
290	648	1580
291	649	1575
292	650	1570
293	652	1565
294	653	1560
295	658	1566
296	659	1561
297	660	1556
298	662	1552
299	663	1547
300	664	1542
301	665	1537
302	666	1532
303	667	1527
304	668	1522
305	671	1523
306	673	1519
307	674	1515
308	675	1510
309	676	1505
310	677	1501
311	678	1496
312	679	1492
313	680	1487
314	682	1483
315	683	1478
316	688	1483
317	689	1478
318	690	1474
319	691	1470
320	692	1465
321	693	1461
322	695	1456
323	696	1452
324	697	1448
325	698	1443
326	700	1441
327	701	1437
328	702	1432
329	703	1428
330	704	1424
331	705	1419
332	706	1415
333	707	1411
334	708	1407
335	709	1403
336	711	1399
337	718	1406
338	719	1403
339	720	1399
340	722	1396
341	723	1392
342	725	1388
343	726	1384
344	730	1386
345	731	1383
346	733	1379
347	734	1375
348	735	1371
349	736	1367
350	737	1363
351	738	1359
352	740	1356
353	741	1352
354	742	1349
355	744	1346
356	745	1343
357	747	1339
358	755	1348
359	756	1345
360	758	1342
361	759	1338
362	760	1334
363	761	1331
364	763	1327
365	764	1323
366	765	1320
367	766	1316
368	772	1321
369	773	1317
370	774	1313
371	776	1310
372	777	1306
373	778	1302
374	779	1298
375	780	1295
376	781	1291
377	785	1292
378	786	1289
379	788	1285
380	789	1282
381	790	1279
382	791	1275
383	792	1271
384	793	1268
385	794	1264
386	796	1260
387	797	1257
388	802	1260
389	803	1256
390	804	1252
391	805	1249
392	806	1245
393	808	1242
394	810	1241
395	812	1238
396	820	1246
397	824	1246
398	825	1243
399	827	1241
400	837	1250
401	839	1248
402	840	1245
403	842	1242
404	843	1239
405	847	1239
406	848	1235
407	849	1232
408	850	1229
409	851	1225
410	853	1223
411	856	1222
412	857	1218
413	858	1215
414	863	1217
415	864	1213
416	865	1210
417	866	1206
418	868	1203
419	869	1200
420	870	1197
421	872	1194
422	873	1191
423	879	1194
424	881	1192
425	882	1189
426	884	1186
427	885	1183
428	887	1180
429	888	1177
430	894	1180
431	896	1179
432	899	1177
433	902	1176
434	904	1174
435	907	1173
436	909	1171
437	911	1169
438	912	1166
439	914	1164
440	916	1161
441	918	1159
442	919	1156
443	926	1160
444	930	1160
445	932	1157
446	933	1154
447	934	1151
448	935	1147
449	938	1147
450	940	1145
451	942	1142
452	943	1139
453	945	1137
454	958	1148
